model_name,url,url.1,model_description,params,model_size,updated_url
huggingface-google-flan-t5-xxl,https://huggingface.co/google/flan-t5-xxl,https://huggingface.co/google/flan-t5-xxl,,,,https://huggingface.co/google/flan-t5-xxl
huggingface-google-long-t5-local-base,https://huggingface.co/google/long-t5-local-base,https://huggingface.co/google/long-t5-local-base,,,,https://huggingface.co/google/long-t5-local-base
huggingface-google-long-t5-local-large,https://huggingface.co/google/long-t5-local-large,https://huggingface.co/google/long-t5-local-large,,,,https://huggingface.co/google/long-t5-local-large
huggingface-google-long-t5-tglobal-base,https://huggingface.co/google/long-t5-tglobal-base,https://huggingface.co/google/long-t5-tglobal-base,,,,https://huggingface.co/google/long-t5-tglobal-base
huggingface-google-long-t5-tglobal-large,https://huggingface.co/google/long-t5-tglobal-large,https://huggingface.co/google/long-t5-tglobal-large,,,,https://huggingface.co/google/long-t5-tglobal-large
huggingface-gpt2tokenizer,https://www.programcreek.com/python/example/119980/transformers.GPT2Tokenizer.from_pretrained,https://www.programcreek.com/python/example/119980/transformers.GPT2Tokenizer.from_pretrained,,,,
huggingface-intfloat-e5-base,https://huggingface.co/intfloat/e5-base,https://huggingface.co/intfloat/e5-base,sentence-similarity,,,https://huggingface.co/intfloat/e5-base
huggingface-intfloat-multilingual-e5-large-instruct,https://huggingface.co/intfloat/multilingual-e5-large-instruct,https://huggingface.co/intfloat/multilingual-e5-large-instruct,feature-extraction,,,https://huggingface.co/intfloat/multilingual-e5-large-instruct
huggingface-mcgill-nlp-llm2vec-meta-llama-3-8b-instruct-mntp-supervised,https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised,https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised,sentence-similarity,,,https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised
huggingface-microsoft-Phi-3-mini-128k-instruct,,,,,,
huggingface-microsoft-Phi-3-vision-128k-instruct-onnx-cpu,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct-onnx-cpu,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct-onnx-cpu,text-generation,,,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct-onnx-cpu
huggingface-microsoft-trocr-base-handwritten,https://huggingface.co/microsoft/trocr-base-handwritten,https://huggingface.co/microsoft/trocr-base-handwritten,image-to-text,,,https://huggingface.co/microsoft/trocr-base-handwritten
huggingface-microsoft-trocr-base-printed,https://www.microsoft.com/en-us/research/publication/trocr-transformer-based-optical-character-recognition-with-pre-trained-models/,https://www.microsoft.com/en-us/research/publication/trocr-transformer-based-optical-character-recognition-with-pre-trained-models/,,,,
huggingface-microsoft-trocr-large-handwritten,https://huggingface.co/microsoft/trocr-large-handwritten,https://huggingface.co/microsoft/trocr-large-handwritten,image-to-text,,,https://huggingface.co/microsoft/trocr-large-handwritten
huggingface-microsoft-trocr-large-printed,https://huggingface.co/microsoft/trocr-large-printed/tree/main,https://huggingface.co/microsoft/trocr-large-printed/tree/main,image-to-text,,,https://huggingface.co/microsoft/trocr-large-printed
huggingface-microsoft-trocr-small-handwritten,https://huggingface.co/microsoft/trocr-small-handwritten/tree/main,https://huggingface.co/microsoft/trocr-small-handwritten/tree/main,image-to-text,,,https://huggingface.co/microsoft/trocr-small-handwritten
huggingface-microsoft-trocr-small-printed,https://huggingface.co/microsoft/trocr-small-printed/tree/main,https://huggingface.co/microsoft/trocr-small-printed/tree/main,image-to-text,,,https://huggingface.co/microsoft/trocr-small-printed
huggingface-mistralai-Mistral-7B-Instruct-v0.2 apache-2,,,,,,
huggingface-mistralai-Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,,,,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3
huggingface-mistralai-Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,,,,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1
huggingface-mistralai-Pixtral-12B-2409,https://huggingface.co/mistralai/Pixtral-12B-2409,https://huggingface.co/mistralai/Pixtral-12B-2409,,,,https://huggingface.co/mistralai/Pixtral-12B-2409
huggingface-naver-clova-ix-donut-base,https://huggingface.co/naver-clova-ix/donut-base,https://huggingface.co/naver-clova-ix/donut-base,image-to-text,,,https://huggingface.co/naver-clova-ix/donut-base
huggingface-naver-clova-ix-donut-base-finetuned-docvqa,,,,,,
huggingface-nltk_data,https://github.com/nltk/nltk_data,https://github.com/nltk/nltk_data,,,,
huggingface-nomic-ai-nomic-embed-text-v1.5,https://huggingface.co/nomic-embed-text-v1.5,https://huggingface.co/nomic-embed-text-v1.5,,,,https://huggingface.co/nomic-embed-text-v1.5
huggingface-nvidia-mistral-nemo-12B-instruct,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct,,,,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct
huggingface-paraphrase-distilroberta-base-v1,https://metatext.io/models/sentence-transformers-paraphrase-distilroberta-base-v1,https://metatext.io/models/sentence-transformers-paraphrase-distilroberta-base-v1,,,,
huggingface-pegasus-large,https://metatext.io/models/google-pegasus-large,https://metatext.io/models/google-pegasus-large,,,,
huggingface-pegasus-xsum,https://huggingface.co/google/pegasus-xsum,https://huggingface.co/google/pegasus-xsum,summarization,,,https://huggingface.co/google/pegasus-xsum
huggingface-pegasustokenizer,https://programtalk.com/python-more-examples/transformers.PegasusTokenizer.from_pretrained/,https://programtalk.com/python-more-examples/transformers.PegasusTokenizer.from_pretrained/,,,,
huggingface-sentence-transformers-all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,,,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
huggingface-sshleifer-distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6,summarization,,,https://huggingface.co/sshleifer/distilbart-cnn-12-6
huggingface-sshleifer-distilbart-cnn-12-6,,,,,,
,,,,,,
huggingface-nltk_data,https://github.com/nltk/nltk_data,https://github.com/nltk/nltk_data,,,,
huggingface-nomic-ai-nomic-embed-text-v1.5,https://huggingface.co/nomic-embed-text-v1.5,https://huggingface.co/nomic-embed-text-v1.5,,,,https://huggingface.co/nomic-embed-text-v1.5
huggingface-nvidia-mistral-nemo-12B-instruct,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct,,,,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct
huggingface-paraphrase-distilroberta-base-v1,https://metatext.io/models/sentence-transformers-paraphrase-distilroberta-base-v1,https://metatext.io/models/sentence-transformers-paraphrase-distilroberta-base-v1,,,,
huggingface-pegasus-large,https://metatext.io/models/google-pegasus-large,https://metatext.io/models/google-pegasus-large,,,,
huggingface-pegasus-xsum,https://huggingface.co/google/pegasus-xsum,https://huggingface.co/google/pegasus-xsum,summarization,,,https://huggingface.co/google/pegasus-xsum
huggingface-pegasustokenizer,https://programtalk.com/python-more-examples/transformers.PegasusTokenizer.from_pretrained/,https://programtalk.com/python-more-examples/transformers.PegasusTokenizer.from_pretrained/,,,,
huggingface-sentence-transformers-all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,,,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
huggingface-sshleifer-distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6,summarization,,,https://huggingface.co/sshleifer/distilbart-cnn-12-6
huggingface-sshleifer-distilbart-cnn-12-6,https://metatext.io/models/sshleifer-distilbart-cnn-12-6,https://metatext.io/models/sshleifer-distilbart-cnn-12-6,,,,
huggingface-t5tokenizer,https://huggingface.co/docs/transformers/model_doc/t5,https://huggingface.co/docs/transformers/model_doc/t5,,,,https://huggingface.co/docs/transformers
huggingface-tiiuae-falcon-40b,https://huggingface.co/tiiuae/falcon-40b,https://huggingface.co/tiiuae/falcon-40b,,,,https://huggingface.co/tiiuae/falcon-40b
huggingface-tiiuae-falcon-7b,https://huggingface.co/tiiuae/falcon-7b,https://huggingface.co/tiiuae/falcon-7b,,,,https://huggingface.co/tiiuae/falcon-7b
huggingface-uncased_L-24_H-1024_A-16,https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1,https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1,,,,
